NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Jardines Gregorio Ordóñez,,Jardines-Gregorio-Ordonez,no,,,"Metro: Núñez de Balboa (líneas 5 y 9) Bus: 1, 29, 52, 74  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Núñez de Balboa (líneas 5 y 9),Núñez de Balboa,"5
9","Bus: 1, 29, 52, 74","1
29
52
74",3975,Instalación parcialmente accesible para personas con movilidad reducida,PRINCIPE DE VERGARA,Calle del Príncipe de Vergara,http://www.wikidata.org/entity/Q5741020,68,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28006,Lista,http://www.wikidata.org/entity/Q4779,Salamanca,http://www.wikidata.org/entity/Q1773521,40.43346186779773,-3.6785954778654113,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines San Francisco el Grande,,Jardines-San-Francisco-el-Grande,no especifica,,,"Bus: 3, 60 y 148.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 3, 60 y 148","3
60
148",4346,Instalación parcialmente accesible para personas con movilidad reducida,GRAN VIA DE SAN FRANCISCO,Gran Vía de San Francisco,http://www.wikidata.org/entity/Q32035437,25,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28005,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,http://www.wikidata.org/entity/Q1763376,40.41002249621306,-3.7144199127869557,,,/contenido/entidadesYorganismos/ParquesJardines/ColeccionesBotanicas,ParquesJardines
Jardines de Gloria Fuertes,,Jardines-de-Gloria-Fuertes,no,,,"Metro: línea 9 (Colombia) Bus: 16,29,150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: línea 9 (Colombia),línea 9,9,"Bus: 16,29,150","16
29
150",1663,Instalación parcialmente accesible para personas con movilidad reducida,MADRE DE DIOS,calle MADRE DE DIOS Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28016,Nueva España,http://www.wikidata.org/entity/Q10338128,Chamartín,http://www.wikidata.org/entity/Q1766348,40.461517637696026,-3.6751179007317614,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de José Luis Jiménez Manso,,Jardines-de-Jose-Luis-Jimenez-Manso,no,,,"Metro: Estrella (línea 9) Bus: 20, 30, 32  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Estrella (línea 9),Estrella,9,"Bus: 20, 30, 32","20
30
32",10775,Instalación parcialmente accesible para personas con movilidad reducida,CAMINO DE LOS VINATEROS,Calle Camino de los Vinateros,http://www.wikidata.org/entity/Q28935892,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28030,Media Legua,http://www.wikidata.org/entity/Q9031035,Moratalaz,http://www.wikidata.org/entity/Q2076109,40.410944943237865,-3.660501733743551,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de San Fernando,,Jardines-de-San-Fernando,no,,,"Metro: Cuzco (línea 10) Bús: 5, 11, 40, 140, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Cuzco (línea 10),Cuzco,"10
5
11
40
140
150",,,12000,Instalación parcialmente accesible para personas con movilidad reducida,ALBERTO ALCOCER,avenida de Alberto Alcocer,http://www.wikidata.org/entity/Q26833742,9,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28036,Nueva España,http://www.wikidata.org/entity/Q10338128,Chamartín,http://www.wikidata.org/entity/Q1766348,40.45978849094378,-3.687352342212426,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Avenida de Brasil,,Jardines-de-la-Avenida-de-Brasil,no,,,"Bus: 5, 126, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 5, 126, 149","5
126
149",16955,Instalación parcialmente accesible para personas con movilidad reducida,BRASIL,avenida de Brasil,http://www.wikidata.org/entity/Q27212874,31,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28020,Castillejos,http://www.wikidata.org/entity/Q11913212,Tetuán,http://www.wikidata.org/entity/Q1773540,40.458706953002235,-3.6934625569379387,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Basílica,,Jardines-de-la-Basilica,no especifica,,,"Metro: Nuevos Ministerios (líneas 6, 8 y 10) RENFE: Nuevos Ministerios Bus: 5 , 69 y 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.","Renfe: Nuevos Ministerios (líneas C1, C3, C4, C7, C8, C10)","C-1
C-3
C-4
C-7
C-8
C-10",Nuevos Ministerios,"Metro: Nuevos Ministerios (líneas 6, 8 y 10)",Nuevos Ministerios,"6
8
10","Bus: 5 , 69 y 149","5
69
149",2410,Instalación parcialmente accesible para personas con movilidad reducida,BASILICA,calle BASILICA Madrid,,15,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28020,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,Tetuán,http://www.wikidata.org/entity/Q1773540,40.44903638127448,-3.695615530710886,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Cuesta de la Vega,,Jardines-de-la-Cuesta-de-la-Vega,no especifica,,,"Bus: 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 31 , 41 , 50 , 65","31
41
50
65",2817,Instalación parcialmente accesible para personas con movilidad reducida,VEGA,"Calle de Lope de Vega, Madrid",http://www.wikidata.org/entity/Q19800989,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28013,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,http://www.wikidata.org/entity/Q1763376,40.41476219795408,-3.7154411142835397,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Plaza Conde del Valle de Suchil,,Jardines-de-la-Plaza-Conde-del-Valle-de-Suchil,no,,,"Metro: San Bernardo (líneas 2 y 4) Bus: 16, 21, 61  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: San Bernardo (líneas 2 y 4),San Bernardo,"2
4","Bus: 16, 21, 61","16
21
61",5233,Instalación parcialmente accesible para personas con movilidad reducida,RODRIGUEZ SAN PEDRO,"Calle de Rodríguez San Pedro, Madrid",http://www.wikidata.org/entity/Q27031515,3,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28015,Arapiles,http://www.wikidata.org/entity/Q10856744,Chamberí,http://www.wikidata.org/entity/Q1763370,40.43137597367309,-3.7064685006782208,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Plaza de Chamberí,,Jardines-de-la-Plaza-de-Chamberi,no,,,"Metro: Iglesia (línea 1) Bus: 3, 40 y 147  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Iglesia (línea 1),Iglesia,1,"Bus: 3, 40 y 147","3
40
147",2650,Instalación parcialmente accesible para personas con movilidad reducida,CHAMBERI,calle CHAMBERI Madrid,,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28010,Almagro,http://www.wikidata.org/entity/Q10954432,Chamberí,http://www.wikidata.org/entity/Q1763370,40.43285328749453,-3.697594475998512,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Plaza de España,,Jardines-de-la-Plaza-de-Espana,no especifica,,,"Metro: Plaza España (línea 2 y 3) Bus: 1, 2, 44, 74, C  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Plaza España (línea 2 y 3),Plaza España,"2
3","Bus: 1, 2, 44, 74, C","1
2
44
74",195230,Instalación parcialmente accesible para personas con movilidad reducida,ESPAÑA,calle de Madrid,http://www.wikidata.org/entity/Q20908832,20,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28008,Argüelles,http://www.wikidata.org/entity/Q64874,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.42372251184839,-3.7116577340508523,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
